Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Burkina Faso,BFA,0,,,,,,0.000960519,0.018686353,0.045423484,0.061780293,0.077080169,0.157732465,0.200992598,0.373440303,0.400295285,0.469914489,0.632707564,0.75,0.92,1.13,1.4
Burundi,BDI,0,0,0,0,0,0,0.000803592,0.007979439,0.015842776,0.039204469,0.077248447,0.106001245,0.118228412,0.201273197,0.349060462,0.542142866,0.65759259,0.7,0.81,1.9,2.1
Cambodia,KHM,0,,,,,,,0.005844911,0.016324986,0.031969578,0.04702264,0.076956056,0.226983238,0.260570198,0.300436644,0.317321781,0.46835672,0.49,0.51,0.53,1.26
Cameroon,CMR,0,,,,,,,0.006768744,0.013216341,0.129067581,0.252120078,0.277051322,0.360871584,0.587622611,0.976075415,1.402654226,2.028744791,2.93,3.4,3.84,4
Canada,CAN,0.359828722,0.567957184,0.911695417,1.17926229,2.370288127,4.156162704,6.739808038,15.00351866,24.7871626,36.04954849,51.12938457,59.97791664,61.43564737,64.06331861,65.85001545,71.59660113,72.35338317,73.20296121,76.73811583,80.14660608,81.37952361
Cape Verde,CPV,0,,,,,,,0.24096792,0.472735008,1.159982461,1.822443852,2.685332713,3.518757175,4.324885391,5.31883207,6.074087107,6.808911008,8.28321982,20,29.67,30
Cayman Islands,CYM,0,,,0,0,3.948967193,,,,,,,,,,38.03438308,44.5,52,61,64.5,66
Central African Republic,CAF,0,,,,,,0.005849503,0.014270881,0.027878201,0.040894287,0.053394174,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2.3
Chad,TCD,0,,,,,,,0.000658168,0.004268504,0.012321728,0.035707076,0.045934134,0.166069665,0.320308555,0.360920107,0.3992577,0.581045764,0.847224521,1.191167002,1.5,1.7
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,0,,0.036548938,0.071783144,0.141084507,0.346980781,0.68347561,1.057092496,1.662322022,4.103419297,16.6,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,38.8,45
China,CHN,0,,,0.000170147,0.001177609,0.004992261,0.013173925,0.032599617,0.169501808,0.711999281,1.78501572,2.652214163,4.615566607,6.224044749,7.325216965,8.548580494,10.55173889,16.04366918,22.66176993,28.97659939,34.37780207
Colombia,COL,0,,,,0.107173945,0.18804679,0.330017773,0.550521023,1.126225245,1.697730794,2.207532993,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5
Comoros,COM,0,,,,,,,0,0.03787097,0.148162964,0.271740607,0.443068373,0.554869675,0.84818937,1.327327178,3.244314744,3.329269511,3.423347228,3.481040438,3.594493768,5.1
"Congo, Dem. Rep.",COD,0,,,,,,0.000108207,0.000211213,0.000413065,0.001009076,0.005902114,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72
"Congo, Rep.",COG,0,,,,,,0.00352686,0.003469104,0.003415143,0.016791049,0.026354732,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,6.657287096,7.3
Costa Rica,CRI,0,,0.001113325,0.081509754,0.279912479,0.416829206,0.84105704,1.640221288,2.666378698,3.904323257,5.800253023,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5
Cote d'Ivoire,CIV,0,,,,,0.000200256,0.00840978,0.018828361,0.060974439,0.118685917,0.231461671,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,2,2.3,2.6
Croatia,HRV,0,,,0.096982256,0.268815993,0.5140287,0.890081964,1.749807002,3.332664752,4.391856703,6.76428775,11.66692179,17.864052,22.8349897,30.98326763,33.13989555,37.92688788,41.3465358,50.42182729,56.03859704,60.0359792
Cuba,CUB,0,,,,,9.1658E-05,0.031949001,0.068220214,0.226699199,0.314690541,0.541182549,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.12
Curacao,CUW,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,0,,0.05006043,0.056367482,0.111034621,0.410120685,0.673343541,4.378272095,8.890539159,11.34239866,15.25539437,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.9936597
Czech Republic,CZE,0,,,0.580696233,1.257580587,1.451934851,1.939440642,2.913402152,3.889778137,6.81774168,9.751576543,14.69961733,23.94089704,34.27299983,35.4501312,35.21765921,47.88174858,51.82630744,62.68622733,64.13852478,68.60493964
Denmark,DNK,0.097296837,0.194095597,0.387066621,0.57859412,1.346133994,3.829581597,5.707616571,11.3676854,22.66296884,30.59996025,39.18826175,42.96532995,64.20519212,76.22196324,80.91655956,82.79295015,86.73560981,85.14975798,85.0771224,86.86797134,88.81134471
Djibouti,DJI,0,,,,,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.194500528,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5
Dominica,DMA,0,,,,,0.548762737,1.165518146,,2.925345191,2.932164377,8.814844198,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45
Dominican Republic,DOM,0,,,,,0.017233601,0.074987053,0.142687565,0.233914189,1.104743874,3.704692356,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,39.53
Ecuador,ECU,0,,0.005118035,0.016400751,0.034833586,0.043833641,0.086161276,0.110217959,0.125272771,0.823371634,1.462188536,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,22.3,24
"Egypt, Arab Rep.",EGY,0,,,0.000975791,0.00638327,0.031319638,0.061466899,0.090480245,0.147987377,0.290445278,0.641265038,0.838945611,2.719999715,4.037885107,5.150666232,11.69839821,12.55279997,16.05,18.01,24.28,26.74
El Salvador,SLV,0,,,,,,0.086389581,0.256960679,0.425253672,0.845428741,1.177397269,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15
Equatorial Guinea,GNQ,0,,,,,,,0.041462292,0.094423774,0.097415945,0.132354665,0.165260423,0.321197997,0.520524272,0.843930285,1.149789671,1.279193596,1.557123059,1.82,2.13,6
Eritrea,ERI,0,,,0,0,0,0,0.009017718,0.008774236,0.025495028,0.136711941,0.157815289,0.227090138,0.725623232,1.161025669,1.788460051,2.159383211,2.509846441,4.06,,5.4
Estonia,EST,0,,0.06525669,0.301388386,1.162934481,2.786143139,3.534389441,5.719270554,10.8288544,14.54635761,28.60275286,31.49803297,41.45897132,45.267594,53.17832887,61.43904388,63.53320976,66.24925009,70.65738833,72.57345902,74.1826378
Ethiopia,ETH,0,,,,,1.75491E-05,0.001703448,0.00496672,0.009663517,0.012541599,0.015263767,0.037162381,0.072402262,0.105811659,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75
Faeroe Islands,FRO,0,,,,,0,2.318786811,4.601297566,11.33786848,22.29753835,32.91639236,43.24698352,53.29922183,58.91264097,66.53359947,67.90263174,69.35944512,75.98,75.57,75.18,75.1
Fiji,FJI,0,,,0.006678447,0.007907399,0.009115343,0.064437142,0.223454842,0.633167865,0.942462063,1.496854734,1.857978594,6.1526497,6.725434738,7.412943485,8.453636634,9.6000384,10.89783105,12.20312637,13.44766597,14.82
Finland,FIN,0.401123145,1.396090388,1.884172573,2.566126108,4.912556494,13.89976507,16.78065479,19.45649457,25.44276475,32.27351186,37.22811345,43.08197102,62.39048303,69.18812273,72.36125288,74.45509807,79.65497801,80.80613384,83.71621739,82.53133098,86.90514451
France,FRA,0.05143997,0.136521247,0.271818066,0.575157224,0.876065668,1.59415577,2.51416553,4.138614814,6.144912791,8.88336332,13.90423307,25.54692075,29.26470591,35.03720781,37.93800549,41.50584453,45.34851955,63.9345873,68.37883804,69.25329477,77.51671958
French Polynesia,PYF,0,,,,,,0.090971944,0.21438525,1.316164696,3.448900232,6.357063545,6.251588946,8.200216486,14.12429379,17.88453743,21.54218547,25.10796425,28.59,33.87,44.6,49
Gabon,GAB,0,,,,,,0,0.047999009,0.17012488,0.249009564,1.216140618,1.347620222,1.939530106,2.659586594,2.9790698,4.89326475,5.489200803,5.767004576,6.21,6.7,7.23
"Gambia, The",GMB,0,,,,,0.009217541,0.03550736,0.051311347,0.206094461,0.715827015,0.921794919,1.336791166,1.796779883,2.436781193,3.308003478,3.799001139,5.237691158,6.205037419,6.88,7.63,9.2
Georgia,GEO,0,,,,,0.012675191,0.043330957,0.066214059,0.111456401,0.449318164,0.520673566,1.059972221,1.685923032,2.701259964,4.067386062,6.240889728,7.603591773,8.311866867,10.03356073,19.90086925,26.3902686
Germany,DEU,0.125361436,0.249141558,0.433444166,0.462321806,0.922305575,1.844207967,3.065558252,6.731940821,9.914387612,20.91062431,30.26744608,31.67064355,48.77504617,55.86147254,64.73634857,68.76943662,72.29988238,75.38833586,78.25649461,79.7468285,82.45162475
Ghana,GHA,0,,,,,0.000347918,0.005648763,0.027537542,0.032240443,0.104895466,0.153615298,0.20000806,0.830284034,1.193057911,1.716797704,1.831197461,2.723175973,3.85,4.27,5.44,8.55
Gibraltar,GIB,0,,,,,,,2.662907268,4.183794329,5.936978297,19.13163812,21.17110944,23.67023975,28.32577979,32.88608261,39.07013088,45.29864751,51.61,58,65.07,
